逻辑号	车厢号	故障类型	故障代码	故障等级	故障名称	故障报告	V>0	V=0	故障已读后发送位
1400	1	制动	658A	0	MCB28-F19制动面板电源断开	========================\n前进方TU的EC\n========================\n-接通司机室左侧MCB控制板上的MCB28-F19“BEB(BN1)?\n如果不成功：\n-通知控制中心。\n-以不超过200km/h的时速运行至目的地站（由于热量的原因：现在在受影响车辆上只能使用高压比率）。\n注意：\n由于车辆控制面板失效，所以在车内无法关闭制动。\n然而还是可以在车外（通过C-压力28-K03）缓解制动。\n如果必须缓解空气制动：\n-执行个人安全措施。\n-	========前进方TU的EC========\n-通知控制中心。\n-以不超过200km/h的速度到达下一个车站（由于热量的原因：在受影响车上只能采用高减速！）。\n注意：\n由于车辆控制面板失效，所以在车内无法关闭制动。\n但是仍可以从车外（通过调节旋阀）缓解制动。\n========被引导TU的EC========\n-通知控制中心。\n-以不超过200km/h的速度到达下一个车站（由于热量的原因：现在在受影响车辆上只能使用高减速！）。\n注意：\n由于车辆控制面板失效，所以在车内无法缓解制动。\	========================\n前进方TU的EC\n========================\n-接通司机室左侧MCB控制板上的MCB28-F19“BEB(BN1)?\n如果不成功：\n-通知控制中心。\n-以不超过200km/h的时速运行至目的地站（由于热量的原因：现在在受影响车辆上只能使用高压比率）。\n注意：\n由于车辆控制面板失效，所以在车内无法关闭制动。\n然而还是可以在车外（通过C-压力28-K03）缓解制动。\n如果必须缓解空气制动：\n-执行个人安全措施。\n-	5801
1401	1	制动	6583	0	MCB28-F11BCU或BCU1关闭	========================\n前进方TU的EC========================\n接通司机室柜左侧上MCB面板上的MCB28-F11“BCU(BD)?\n如果没有成功：\n-在车厢控制面板上缓解车厢的空气制动器。\n-如有需要，通知列车员已采取了以上措施。\n-按TD-HMI上的“制动状态”叶面上的软键“制动有效率”。\n-参考制动故障时应采取的措施。\n-参考撒沙装置故障时应采取的措施。\n-通知列车员并采取以下措施：\n锁闭外门并贴上布告板。\n-通知控制中心。\	========================\n前进方TU的EC\n========================\n-通知控制中心。\n-以最大时速Vmax=215km/h的速度行驶到到达站（由于缺少运行稳定性监控）。\n-如果可能，用低减速度制动（因为缺少轮滑保护）。\n-参考撒沙装置故障时应采取的措施。\n-通知列车员并采取以下措施：\n锁闭外门并贴上布告板。\n-如有需要，通过紧急方式操控风挡刮水器（位于司机操纵台的下面）。\n========================\n被引导TU的	========================\n前进方TU的EC========================\n接通司机室柜左侧上MCB面板上的MCB28-F11“BCU(BD)?\n如果没有成功：\n-在车厢控制面板上缓解车厢的空气制动器。\n-如有需要，通知列车员已采取了以上措施。\n-按TD-HMI上的“制动状态”叶面上的软键“制动有效率”。\n-参考制动故障时应采取的措施。\n-参考撒沙装置故障时应采取的措施。\n-通知列车员并采取以下措施：\n锁闭外门并贴上布告板。\n-通知控制中心。\	5802
1402	7	牵引	63C2	0	10-X01: 受电弓接触片断裂	通知控制中心。\n升弓。\n接通真空断路器。\n如果不成功：\n切除TD-HMI上的“开关：牵引”页面的牵引单元的受电弓.\n通过另一个TU的受电弓和真空断路器运行动车组。\n升弓。\n接通真空断路器.	通知控制中心。\n升弓。\n接通真空断路器。\n如果不成功：\n切除TD-HMI上的“开关：牵引”页面的牵引单元的受电弓.\n通过另一个TU的受电弓和真空断路器运行动车组。\n升弓。\n接通真空断路器.	通知控制中心。\n升弓。\n接通真空断路器。\n如果不成功：\n切除TD-HMI上的“开关：牵引”页面的牵引单元的受电弓.\n通过另一个TU的受电弓和真空断路器运行动车组。\n升弓。\n接通真空断路器.	5803
1403	1	牵引	2253	0	最大允许的GTO运行电流1PWMI超限	牵引系统暂时被中断。	"牵引系统自动恢复:\n- v>45 km/h 时，自动恢复。\n- v<45 km/h时，通过主控制器的零位确认进行恢复。\n如果频繁发生故障或者无法恢复：\n- 在“开关，牵引”页面上切除牵引变流器。\n- 大约30s后闭合真空断路器。\n- 动车组以减少25%的牵引功率运行。\n$SK [Antrieb_sperren, Bremsvermoegen, Traktion, , , ]\n"	"通过主控制器的零位确认使牵引系统自动恢复。\n如果频繁发生故障或者无法恢复：\n- 在“开关，牵引”页面上切除牵引变流器。\n- 大约30s后闭合真空断路器。\n- 动车组以减少25%的牵引功率运行。\n$SK [Antrieb_sperren, , Traktion, , , ]\n"	5804
1404	3	牵引	21AD	0	GTO控制模块A1:监控起作用	"-在“开关，牵引”页面上切断牵引变流器。\n-大约30s后闭合真空断路器。\n-动车组以减少25%的牵引功率运行。\n\n如果真空断路器无法闭合：\n-在”开关，牵引”页面上，切除真空电路断路器和车顶电缆断开器。\n-动车组以减少50%的牵引功率运行。\n-通知控制中心\n。$SK[Antrieb_sperren,HS_sperren,DLTR_sperren,,Traktion,]\n"	"-在“开关，牵引”页面上中断牵引变流器\n-大约30s后闭合真空断路器\n-动车组以减少25%的牵引功率运行。\n\n如果真空断路器无法闭合\n-在“开关，牵引”页面上，切除真空电路断路器和车顶电缆断开器。\n-动车组以减少50%的牵引功率运行。\n-通知控制中心。\n$SK[Antrieb_sperren,HS_sperren,DLTR_sperren,,Traktion,]\n"	"-在“开关，牵引”页面上切断牵引变流器。\n-大约30s后闭合真空断路器。\n-动车组以减少25%的牵引功率运行。\n\n如果真空断路器无法闭合：\n-在”开关，牵引”页面上，切除真空电路断路器和车顶电缆断开器。\n-动车组以减少50%的牵引功率运行。\n-通知控制中心\n。$SK[Antrieb_sperren,HS_sperren,DLTR_sperren,,Traktion,]\n"	5805
1405	6	牵引	21AE	0	GTO控制模块A1:监控起作用	"-在“开关，牵引”页面上切断牵引变流器。\n-大约30s后闭合真空断路器。\n-动车组以减少25%的牵引功率运行。\n\n如果真空断路器无法闭合：\n-在”开关，牵引”页面上，切除真空电路断路器和车顶电缆断开器。\n-动车组以减少50%的牵引功率运行。\n-通知控制中心\n。$SK[Antrieb_sperren,HS_sperren,DLTR_sperren,,Traktion,]\n"	"-在“开关，牵引”页面上中断牵引变流器\n-大约30s后闭合真空断路器\n-动车组以减少25%的牵引功率运行。\n\n如果真空断路器无法闭合\n-在“开关，牵引”页面上，切除真空电路断路器和车顶电缆断开器。\n-动车组以减少50%的牵引功率运行。\n-通知控制中心。\n$SK[Antrieb_sperren,HS_sperren,DLTR_sperren,,Traktion,]\n"	"-在“开关，牵引”页面上切断牵引变流器。\n-大约30s后闭合真空断路器。\n-动车组以减少25%的牵引功率运行。\n\n如果真空断路器无法闭合：\n-在”开关，牵引”页面上，切除真空电路断路器和车顶电缆断开器。\n-动车组以减少50%的牵引功率运行。\n-通知控制中心\n。$SK[Antrieb_sperren,HS_sperren,DLTR_sperren,,Traktion,]\n"	5806
1406	8	牵引	2210	0	GTO控制模块A1:监控起作用	"-在“开关，牵引”页面上切断牵引变流器。\n-大约30s后闭合真空断路器。\n-动车组以减少25%的牵引功率运行。\n\n如果真空断路器无法闭合：\n-在”开关，牵引”页面上，切除真空电路断路器和车顶电缆断开器。\n-动车组以减少50%的牵引功率运行。\n-通知控制中心\n。$SK[Antrieb_sperren,HS_sperren,DLTR_sperren,,Traktion,]\n"	"-在“开关，牵引”页面上中断牵引变流器\n-大约30s后闭合真空断路器\n-动车组以减少25%的牵引功率运行。\n\n如果真空断路器无法闭合\n-在“开关，牵引”页面上，切除真空电路断路器和车顶电缆断开器。\n-动车组以减少50%的牵引功率运行。\n-通知控制中心。\n$SK[Antrieb_sperren,HS_sperren,DLTR_sperren,,Traktion,]\n"	"-在“开关，牵引”页面上切断牵引变流器。\n-大约30s后闭合真空断路器。\n-动车组以减少25%的牵引功率运行。\n\n如果真空断路器无法闭合：\n-在”开关，牵引”页面上，切除真空电路断路器和车顶电缆断开器。\n-动车组以减少50%的牵引功率运行。\n-通知控制中心\n。$SK[Antrieb_sperren,HS_sperren,DLTR_sperren,,Traktion,]\n"	5807
1407	1	牵引	200C	0	牵引系统故障，无法重启	牵引系统失效，真空断路器断开。\n闭合真空断路器失败。	-在“开关，牵引”页面上切除牵引变流器。\n-大约30S后闭合真空断路。\n动车组以减少25%的牵引功率运行。\n如果真空断路器无法闭合：\n-在“开关，牵引”页面上，切除真空断路器和车顶电缆断开器。\n-动车组以减少50%的牵引功率运行。\n通知控制中心。	-在“开关，牵引”页面上切除牵引变流器。\n-大约30S后闭合真空断路。\n动车组以减少25%的牵引功率运行。\n如果真空断路器无法闭合：\n-在“开关，牵引”页面上，切除真空断路器和车顶电缆断开器。\n-动车组以减少50%的牵引功率运行。\n通知控制中心。	5808
1408	1	制动	1775	0	BCU故障或硬件故障	BCU故障或硬件故障	BCU故障或硬件故障	BCU故障或硬件故障	5809
1409	2	制动	1775	0	BCU故障或硬件故障	BCU故障或硬件故障	BCU故障或硬件故障	BCU故障或硬件故障	5810
