MenuID	LogicID	Content	Row	IsRight
-1	1304	制动缸总风压欠压		
0	1305	司机室连锁故障	1	0
0	1306	运行中警惕按钮释放时间过长	2	0
0	1307	ATP触发紧急制动	3	0
0	1308	列车由ATC转入人工模式	4	0
0	1309	列车速度超过85km/h	0	1
0	1310	主风管压力低于550kPa	1	1
0	1311	紧急制动按钮或环线有效	2	1
0	1312	紧急制动硬线反馈有效	3	1
0	1314	车门未全关闭且无旁路信号	4	1
1	1313	牵引系统方向故障	0	0
1	1315	停放制动未缓解且无旁路信号	1	0
1	1316	列车完整性环路断开	2	0
1	1317	牵引指令发出14S后制动不缓解	3	0
1	1318	总风管压力低于600kPa	4	0
1	1319	3个及以上DCU故障	0	1
1	1320	4个及以上转向架制动被切除	1	1
1	1321	速度大于4km/h时制动不缓解	2	1
1	1322	速度大于83km/h	3	1
1	1323	BCU的CAN单元中单个阀紧急激活	4	1
2	1324	退行模式限速10km/h	0	0
2	1325	救援模式限速25km/h	1	0
2	1326	紧急牵引模式限速25km/h	2	0
2	1327	总风压力可用旁路限速25km/h	3	0
2	1328	两个DCU故障限速50km/h	4	0
2	1329	3个转向架制动失效限速45km/h	5	0
2	1330	2个转向架制动失效限速60km/h	0	1
2	1331	1个转向架制动失效限速70km/h	1	1
2	1332	停放制动旁路时限速10km/h	2	1
2	1333	常用制动旁路时限速10km/h	3	1
2	1334	50%电制动故障限速70km/h	4	1
2	1335	全部电制动故障限速60km/h	5	1
2	1352	洗车模式限速3km/h	6	1
3	1336	3个及以上DCU通信中断	0	-
3	1337	1个单元BCU通信中断	1	-
3	1338	操作断DIM通信中断	2	-
3	1339	操作断AXM故障	3	-
4	1340	超速报警（80km/h）	0	0
4	1341	紧急牵引请求	1	0
4	1342	紧急按钮	2	0
4	1343	警惕	3	0
4	1344	总风缸压力低于7bar报警	4	0
4	1345	1端库用供电	5	0
4	1353	1车应急电源启动	6	0
4	1346	3车BHB1分钟闭合次数提示	0	1
4	1347	4车BHB1分钟闭合次数提示	1	1
4	1348	BHB切除	2	1
4	1349	ATC ZVRD监视	3	1
4	1351	2端库用供电	4	1
4	1350	超速报警（83km/h）	5	1
4	1354	6车应急电源启动	6	1
