车辆编号	内容显示(不能大于64个）	4个位置(在总共64个位置中选择，8车，8车换端，16车，16车换端)用英语模式下的逗号","区分	故障、门开、锁闭对应的逻辑号用英语模式下的逗号","区分
1	1-1	32,23,32,31	680,681,682,1956
1	2-1	0,55,0,63	683,684,685,1957

2	1-1	33,22,33,30	692,693,694,1960
2	2-1	1,54,1,62	695,696,697,1961
2	1-2	49,6,49,14	698,699,700,1962
2	2-2	17,37,17,46	701,702,703,1963
3	1-1	34,21,34,29	704,705,706,1964
3	2-1	2,52,2,61	707,708,709,1965
3	1-2	50,5,50,13	710,711,712,1966
3	2-2	18,37,18,45	713,714,715,1967

5	1-1	36,19,36,27	728,729,730,1972
5	2-1	4,51,4,59	731,732,733,1973

6	1-1	37,18,37,26	740,741,742,1976
6	2-1	5,50,5,58	743,744,745,1977
6	1-2	53,2,53,10	746,747,748,1978
6	2-2	21,34,21,42	749,750,751,1979
7	1-1	38,17,38,25	752,753,754,1980
7	2-1	6,49,6,57	755,756,757,1981
7	1-2	54,1,54,9	758,759,760,1982
7	2-2	22,33,22,41	761,762,763,1983
8	1-1	39,16,39,24	764,765,766,1984
8	2-1	7,48,7,56	767,768,769,1985

9	1-1	40,40,40,23	776,777,778,1988
9	2-1	8,8,8,55	779,780,781,1989

10	1-1	41,41,41,22	788,789,790,1992
10	2-1	9,9,9,54	791,792,793,1993
10	1-2	57,57,57,6	794,795,796,1994
10	2-2	25,25,25,38	797,798,799,1995
11	1-1	42,42,42,21	800,801,802,1996
11	2-1	10,10,10,53	803,804,805,1997
11	1-2	58,58,58,5	806,807,808,1998
11	2-2	26,26,26,37	809,810,811,1999
13	1-1	44,44,44,19	824,825,826,2004
13	2-1	12,12,12,51	827,828,829,2005
14	1-1	45,45,45,18	836,837,838,2008
14	2-1	13,13,13,50	839,840,841,2009
14	1-2	61,61,61,2	842,843,844,2010
14	2-2	29,29,29,34	845,846,847,2011
15	1-1	46,46,46,17	848,849,850,2012
15	2-1	14,14,14,49	851,852,853,2013
15	1-2	62,62,62,1	854,855,856,2014
15	2-2	30,30,30,33	857,858,859,2015
16	1-1	47,47,47,16	860,861,862,2016
16	2-1	15,15,15,48	863,864,865,2017
