1200	9400	2011	CCU has started up 	7	2	Computer Communication	<Detected fault>¡áIndication only that the CCU has started up¡á¡á¡á<Consequences>¡áIndication only.	<Causes>¡áIndication only that the CCU has started up¡á¡á¡á<Check/inspect>¡áIndication only
1201	9401	2015	Low battery level in CCU_O Mobad	5	1	Computer Communication	<Detected fault>¡áBattery Level on MOBAD unit in the CCU is below 3 V.¡á¡á¡á<Consequences>¡áIf this is not corrected before disconnecting the train battery, important train data in the unit is lost.	<Causes>¡á1. Discharged battery in the Mobad unit¡á¡á¡á<Check/inspect>¡á1. Replace the battery in the Mobad unit
1202	9402	2011	TSSP Watchdog counter has stopped	5	1	Computer Communication	<Detected fault>¡áCommunication is interrupted from TSSP to the CCU-O application.¡á¡á¡á<Consequences>¡áCommunication with HMI is lost.	<Causes>¡á1. The TSSP has stopped running¡á¡á¡á<Check/inspect>1. Restart the CCU-O.
1203	9403	2015	Local MVB communication error	3	1	Computer Communication	<Detected fault>¡áNo communication is working over local MVB.¡á¡á¡á<Consequences>¡áControl of local MVB not functional.	<Causes>¡á1. Faulty MVB cabling or connectors¡á2. Faulty MVB termination¡á3. CCU problem¡á4. Faulty CCU¡á¡á¡á<Check/inspect>¡á1. Check MVB cabling and connectors.¡á2. Check MVB termination¡á3. Bypass a sub-system connection and check if the fault disappears. ¡áIf it does that sub-system is faulty.¡á4. Verify CCU SW versions and Reboot CCU¡á5. Replace the CCU
1204	9404	2011	Data Recorder not recording	7	2	Computer Communication	<Detected fault>¡áData Recorder not recording¡á¡á¡á<Consequences>¡áIndication only.	<Causes>¡áData Recorder not recording¡á¡á¡á<Check/inspect>¡áIndication only
1205	9405	2015	Redundancy switch over has taken place	5	1	Computer Communication	<Detected fault>¡áRedundant CCU has taken over the control.¡á¡á¡á<Consequences>¡áIndication only.	<Causes>¡á1. Faulty train MVB communication between the partner CCUs.¡á2. Power supply lost to CCU¡á3. Faulty CCU¡á¡á¡á<Check/inspect>¡á1. Check visually for fault indications via LEDs on both CCUs.¡á2. Check that both CCUs have power.¡á3. Check MVB cables and connectors.
1206	9406	2011	Redundant CCU HW or communication fault	3	1	Computer Communication	<Detected fault>¡áCommunication over train MVB is interrupted from redundant CCU to the leader CCU¡á¡á¡á<Consequences>¡áRedundancy is lost.	<Causes>¡á1. Faulty MVB cabling or connectors¡á2. Faulty MVB termination¡á3. Redundant CCU problem¡á4. Faulty redundant CCU¡á¡á¡á<Check/inspect>¡á1. Check MVB cabling and connectors¡á2. Check MVB termination¡á3. Verify CCU SW versions and Reboot CCU¡á4. Replace the redundant CCU
1207	9407	2015	MVB Channel A error	5	1	Computer Communication	<Detected fault>¡áMVB Channel A error.¡á¡á¡á<Consequences>¡áThe MVB redundancy could be compromised	<Causes>¡á1. Faulty MVB cables and connections.¡á¡á¡á<Check/inspect>¡á1. Check MVB cables and connections.
1208	9408	2015	MVB Channel B error	5	1	Computer Communication	<Detected fault>¡áMVB Channel B error.¡á¡á¡á<Consequences>¡áThe MVB redundancy could be compromised	<Causes>¡á1. Faulty MVB cables and connections.¡á¡á¡á<Check/inspect>¡á1. Check MVB cables and connections.
1209	9409	2011	I/O unit AX84 status fault	5	1	Computer Communication	<Detected fault>¡áAX-unit self test detected faulty AX.¡á¡á¡á<Consequences>¡áAX unit outputs are deenergized. This may cause additional faults. The external control system in the car continues, if possible, in a predefined state. Fault permanently set if 3 failures within 10 minutes. The counting of failures is reset at train shutdown (i.e. CCU power off) or ¡°Fault reset¡±.	<Causes>¡á1. Faulty power supply to AX unit.¡á2. Faulty AX unit.¡á¡á¡á<Check/inspect>¡á1. Check power supply to AX unit.¡á2. If no faults are found the AX unit is faulty.
1210	9410	2011	I/O unit AX85 status fault	5	1	Computer Communication	<Detected fault>¡áAX-unit self test detected faulty AX.¡á¡á¡á<Consequences>¡áAX unit outputs are deenergized. This may cause additional faults. The external control system in the car continues, if possible, in a predefined state. Fault permanently set if 3 failures within 10 minutes. The counting of failures is reset at train shutdown (i.e. CCU power off) or ¡°Fault reset¡±.	<Causes>¡á1. Faulty power supply to AX unit.¡á2. Faulty AX unit.¡á¡á¡á<Check/inspect>¡á1. Check power supply to AX unit.¡á2. If no faults are found the AX unit is faulty.
1211	9411	2011	I/O unit DX86 status fault	5	1	Computer Communication	<Detected fault>¡áI/O-unit self test detected faulty DX I/O.¡á¡á¡á<Consequences>¡áDX I/O unit outputs are deenergized. This may cause additional faults. The external control system in the car continues, if possible, in a predefined state. Fault permanently set if 3 failures within 10 minutes. The counting of failures is reset at train shutdown (i.e. CCU power off) or ¡°Fault reset¡±.	<Causes>¡á1. Faulty power supply to DX I/O unit.¡á2. Faulty DX I/O unit.¡á¡á¡á<Check/inspect>¡á1. Check power supply to DX I/O unit.¡á2. If no faults are found the DX unit is faulty.
